UTC;cas;teplota;vlhkost;tlak;Usol;Isol;Psol;Ubat;Ibat;Pbat;
719107200;00:00;16.12;71.0;989.43;0.464;-0.000;0.000;3.996;-0.051;0.209;
719107500;00:05;16.14;70.7;989.34;0.464;-0.000;0.000;3.992;-0.055;0.224;
719107800;00:10;16.09;70.9;989.37;0.464;-0.000;0.000;3.992;-0.055;0.224;
719108100;00:15;16.05;71.1;989.32;0.464;0.000;0.000;3.976;-0.099;0.404;
719108400;00:20;16.08;71.1;989.22;0.468;-0.000;0.000;3.996;-0.055;0.224;
719108700;00:25;16.05;71.5;989.18;0.460;0.000;0.000;3.980;-0.101;0.411;
719109000;00:30;16.06;71.5;989.10;0.464;0.000;0.000;3.988;-0.054;0.221;
719109301;00:35;16.01;71.7;989.01;0.464;-0.000;0.000;3.992;-0.052;0.211;
719109600;00:40;16.01;71.8;988.96;0.464;-0.000;0.000;3.992;-0.054;0.221;
719109900;00:45;15.98;71.9;988.95;0.464;0.000;0.000;3.988;-0.054;0.221;
719110201;00:50;15.95;71.9;988.91;0.460;-0.000;0.000;3.992;-0.052;0.213;
719110500;00:55;15.91;72.0;988.88;0.464;-0.000;0.000;3.988;-0.052;0.213;
719110800;01:00;15.88;71.9;989.02;0.464;-0.000;0.000;3.988;-0.055;0.224;
719111100;01:05;15.91;72.1;989.03;0.464;-0.000;0.000;3.976;-0.101;0.411;
719111400;01:10;15.91;71.7;988.98;0.464;-0.000;0.000;3.984;-0.055;0.225;
719111700;01:15;15.80;71.9;988.96;0.464;0.000;0.000;3.972;-0.100;0.405;
719112000;01:20;15.65;72.5;988.93;0.464;-0.000;0.000;3.984;-0.056;0.227;
719112300;01:25;15.64;72.9;988.86;0.464;-0.000;0.000;3.988;-0.053;0.215;
719112600;01:30;15.64;72.8;988.86;0.464;0.000;0.000;3.976;-0.097;0.397;
719112900;01:35;15.63;72.6;988.82;0.464;0.000;0.000;3.984;-0.055;0.224;
719113200;01:40;15.57;72.7;988.85;0.464;-0.000;0.000;3.972;-0.100;0.407;
719113500;01:45;15.45;72.8;988.76;0.464;-0.000;0.000;3.988;-0.056;0.227;
719113800;01:50;15.38;73.2;988.72;0.468;-0.000;0.000;3.968;-0.101;0.410;
719114100;01:55;15.37;73.1;988.70;0.464;-0.000;0.000;3.968;-0.100;0.407;
719114400;02:00;15.32;73.2;988.67;0.464;-0.000;0.000;3.984;-0.052;0.213;
719114700;02:05;15.28;72.3;988.63;0.464;-0.000;0.000;3.988;-0.052;0.211;
719115000;02:10;15.12;72.6;988.60;0.464;-0.000;0.000;3.984;-0.052;0.213;
719115300;02:15;15.02;72.6;988.60;0.464;-0.000;0.000;3.980;-0.054;0.221;
719115600;02:20;14.87;72.9;988.52;0.464;-0.000;0.000;3.984;-0.054;0.221;
719115900;02:25;14.79;73.3;988.50;0.464;-0.000;0.000;3.968;-0.098;0.399;
719116200;02:30;14.74;73.7;988.46;0.464;-0.000;0.000;3.968;-0.100;0.405;
719116500;02:35;14.73;73.9;988.37;0.464;-0.000;0.000;3.988;-0.052;0.213;
719116800;02:40;14.72;73.9;988.30;0.464;-0.000;0.000;3.984;-0.052;0.211;
719117100;02:45;14.74;73.9;988.25;0.464;-0.000;0.000;3.980;-0.054;0.221;
719117400;02:50;14.76;73.9;988.24;0.464;-0.000;0.000;3.980;-0.051;0.206;
719117700;02:55;14.78;73.8;988.13;0.464;-0.000;0.000;3.984;-0.053;0.215;
719118000;03:00;14.78;73.7;987.99;0.464;0.000;0.000;3.984;-0.054;0.219;
719118300;03:05;14.79;73.8;987.93;0.464;-0.000;0.000;3.980;-0.053;0.217;
719118600;03:10;14.80;73.7;987.82;0.464;-0.000;0.000;3.980;-0.051;0.217;
719118900;03:15;14.76;73.8;987.73;0.460;-0.000;0.000;3.968;-0.097;0.394;
719119200;03:20;14.76;73.9;987.74;0.464;-0.000;0.000;3.984;-0.052;0.211;
719119500;03:25;14.73;74.0;987.78;0.464;-0.000;0.000;3.980;-0.055;0.221;
719119800;03:30;14.72;74.1;987.73;0.464;-0.000;0.000;3.980;-0.051;0.209;
719120100;03:35;14.76;74.2;987.79;0.464;-0.000;0.000;3.984;-0.052;0.211;
719120400;03:40;14.84;74.0;987.60;0.464;-0.000;0.000;3.980;-0.051;0.206;
719120700;03:45;14.90;74.1;987.55;0.468;-0.000;0.000;3.980;-0.054;0.221;
719121000;03:50;14.98;73.8;987.64;0.464;-0.000;0.000;3.980;-0.053;0.215;
719121300;03:55;14.99;73.9;987.59;0.464;-0.000;0.000;3.972;-0.060;0.246;
719121601;04:00;14.95;73.9;987.55;0.464;-0.000;0.000;3.964;-0.101;0.410;
719121900;04:05;14.96;74.2;987.52;0.464;-0.000;0.000;3.980;-0.052;0.211;
719122200;04:10;15.00;74.2;987.42;0.464;0.000;0.000;3.980;-0.052;0.211;
719122500;04:15;14.99;74.3;987.42;0.464;-0.000;0.000;3.976;-0.054;0.221;
719122800;04:20;14.98;74.4;987.55;0.464;0.000;0.000;3.976;-0.055;0.224;
